REG_NAME,OKTMO_NUM,OKTMO_territory_code,Excess_mortality_apr_feb_per_capita,Salary_Region_to_Country_Ratio,Population_Below_Living_Wage_Share,Modern_Retail_Area_per_capita_x1000,Population,Mean_Real_Wage,Floor_Area_per_capita,Urban_Population_Share,Migr_IntraReg_3Y_mean_per_capita_x10000,Migr_Inflow_InterReg_3Y_mean_per_capita_x10000,Migr_Inflow_International_3Y_mean_per_capita_x10000,Migr_Outflow_InterReg_3Y_mean_per_capita_x10000,Migr_Outflow_International_3Y_mean_per_capita_x10000,Doctors_per_capita_x1000,Change_over_5yrs_Doctors_per_capita_x1000,Employees_in_Working_Age_Population_Share,Retail_N_per_capita_x1000,Working_Age_Population_Share,Under_Working_Age_Population_Share,Retail_Area_per_capita_x1000,Income_per_capita,SME_in_GRDP_Share,GRDP_in_GDP_Share,Post_Working_Age_Population_Share,Patents_per_capita_x10000,Cars_per_capita_x1000,Ecommerce_Users_Share,Digital_Gov_Serv_Users_Share,Jan_Temp_Mean_10yr,Jul_Temp_Mean_10yr,Jan_Humid_Mean_10yr,Jul_Humid_Mean_10yr,Region_Area_km2,Road_Density,Rail_Road_Density,Airport_Density,Buses_per_capita,Workers_in_A_EconAct_Share,Workers_in_B_EconAct_Share,Workers_in_C_EconAct_Share,Workers_in_D_EconAct_Share,Workers_in_E_EconAct_Share,Workers_in_F_EconAct_Share,Workers_in_G_EconAct_Share,Workers_in_H_EconAct_Share,Workers_in_I_EconAct_Share,Workers_in_J_EconAct_Share,Workers_in_K_EconAct_Share,Workers_in_L_EconAct_Share,Workers_in_M_EconAct_Share,Workers_in_N_EconAct_Share,Workers_in_O_EconAct_Share,Workers_in_P_EconAct_Share,Workers_in_Q_EconAct_Share,Workers_in_R_EconAct_Share,Workers_in_S_EconAct_Share
Altai Territory,1000000,01000000,2.88914888227061,58.4,17.6,204.1,2324983,114.5,24.75,0.568214477267146,186.251153873692,95.4750644677833,48.5511092714327,130.699354969329,41.2215754264635,4.24820310514098,-0.00851953580061593,0.472096601353519,6.14800194237979,53.1,19.1,1008.32569528465,23937,36.4,0.7,27.8,1.15269660036224,309.372418620781,0.0854136473109518,0.393184295043542,-16.9246153846154,19.1461538461538,75.0923076923077,68.9223076923077,168119.611690932,33.1641577865756,18.03095229433,0.16654808869934,0.0031410982359871,0.0364302118992551,0.0028220444076665,0.0774264009299728,0.0176089415028775,0.00515703505461834,0.0118858775641956,0.0642370693299515,0.0282744711610483,0.0072325012962268,0.00748149568512367,0.00948681581717302,0.0106814866830936,0.0113298926958195,0.00733691045930034,0.0481260631666543,0.061113461451282,0.0555063896937649,0.00698877191555319,0.00297148964108053
Amur Region,10000000,10000000,3.02919837376146,98.7,15.7,112.4,791619,112.3,25.63,0.676288719699755,209.021666871604,118.33526485412,43.6804758431889,155.655019477064,29.2836585597968,5.47611919370303,-0.00840505751880094,0.610623467589883,7.30528196013486,56.2,20.5,877.794241926988,33304,22.2,0.4,23.3,1.6523100127713,287.758102053218,0.0755913252710597,0.260874106118005,-27.871,18.792,73.4605,77.3305,362619.03501906,9.10917290058999,15.003123696178,0.31713724017261,0.0174755785295704,0.0254979952589526,0.0309815994509994,0.0284207410086323,0.0329665850478172,0.00688529937738885,0.0973816266505393,0.052303505093456,0.0627191163023044,0.00583852348288311,0.00947043349006021,0.0121097383114659,0.0117426811854775,0.0236480992718832,0.0185185152717725,0.0623981379949489,0.0622670943302513,0.0563391105068028,0.00778484782699417,0.00335004250197843
Arkhangelsk Region,11000000,11000000,2.1852321076798,109.5,13.6,467.9,1140327,112.9,28.39,0.784588104990937,219.006492191951,136.079251515189,15.157596096512,191.067971266424,12.5920109147823,5.52999271261664,0.0430801632827575,0.611361347974618,6.10965100361563,54,19,1122.71190632161,35693,14.2,0.9,27,0.570888876611709,289.728162575321,0.142070996963396,0.307301667336597,-11.85,14.8138095238095,85.787619047619,77.2704761904762,406446.60449303,10.2471546922657,9.63037442539167,0.157462257754198,0.00814152431714762,0.019134050210224,0.0191601960568231,0.117935306990727,0.0243716641513063,0.00816513677736818,0.0211328271042721,0.0491088829653119,0.0573414143162119,0.0105064080222083,0.00914146491248498,0.00966194589602612,0.01831687070658,0.0124174907723837,0.0111267628918268,0.0672513397635227,0.0762690584952094,0.0642869529074977,0.0122695475037391,0.00376418992745713
Astrakhan Region,12000000,12000000,2.13545281184193,75.4,15.5,167.6,1009924,112.7,24.48,0.667396754607277,83.2190654411868,99.1544422879773,77.4947543546115,138.85766516782,81.6877664144067,6.09748852388893,0.00455015423544713,0.408403830982423,4.46667273973091,54.9,20.5,576.841326674086,24971,14.7,0.6,24.6,1.29811748210756,263.398302870132,0.122209177980188,0.314749776729053,-5.01833333333333,26.3616666666667,85.4266666666667,45,52445.9601722944,28.836559184938,39.3092661896614,0.266941437510296,0.00677575738372392,0.0109265377172893,0.00991472106227633,0.035894060566977,0.0139829093814334,0.0110782200358037,0.0214344610929947,0.0313544125800474,0.0309974811789297,0.00689063374416552,0.00643504571019714,0.0074131351433763,0.00997261645376638,0.0135543752687221,0.012441737667158,0.0587858262183504,0.0582238260941044,0.0582115616498012,0.00838851918442975,0.00250429131102574
Belgorod Region,14000000,14000000,2.5927750103121,72.3,7.8,122.5,1548284,110,32.1,0.674717945803225,155.265304141383,130.522228169938,89.8893139666662,131.233553298908,54.3708854376844,4.04899876250094,-0.0199923599893496,0.577114390073516,7.29452736061343,54.9,16.9,834.896246425074,32352,26.4,1,28.2,1.1606397792653,322.948938166675,0.260623019715291,0.36052223108819,-6.31,21.2128571428571,86.35,65.46,27148.1654110382,105.94638280811,73.6289086390167,0.294679212347339,0.00052638921541526,0.0518196350538458,0.0243523614431845,0.113897292222394,0.0157249123783454,0.00844109785914041,0.032365110350337,0.0616638963159962,0.0313628843898908,0.00701005236285353,0.00834615756684318,0.00740157812836181,0.0149544489653906,0.017245721744549,0.0177771285602945,0.0357802550158839,0.0668502009574226,0.0477523788143168,0.0118674188911907,0.00250209434520137
Bryansk Region,15000000,15000000,2.23314054361836,62.4,13.8,348.2,1196339,109.2,30.45,0.704220960781183,174.699404054618,109.194179130639,28.4441789249116,140.348200353936,14.2820691464608,4.00555360980458,0.0582822425697744,0.477947587974263,5.83446665201084,54.5,17.1,871.136525683774,28371,30.9,0.4,28.4,0.642794391890593,202.32597086954,0.0835389602439469,0.344706906889538,-6.525,19.5716666666667,87.8166666666667,72.0716666666667,34930.1822212017,73.7860427697518,52.0569768697808,0.486685122120017,0.0041585202856381,0.0253995080143242,0.000232053522370401,0.0992704416703219,0.0173132172939444,0.00757172392093981,0.0178219559150301,0.0516516171726386,0.0318782951207158,0.00759641699238835,0.00922723331979381,0.00646314304870369,0.0160612325595693,0.0112169427353333,0.013454349730931,0.0455007417852344,0.0554265896419728,0.0509293831760475,0.00791343922024004,0.0030191497606486
Chechen Republic,96000000,96000000,2.03323671863483,58,20.7,81,1467838,112.2,20.06,0.367986794183009,56.4887152451352,58.455141115846,5.30812933062801,80.7701466940023,1.37192259545585,2.96558612053919,0.0870040964019294,0.252430742917887,4.56249259114426,55.4,33.8,396.239230759798,24138,27.6,0.2,10.8,0.0531393791412949,170.865168015443,0.0175352795995876,0.314690142334267,-1.5725,23.03375,81.59625,63.79,15830.9426648143,52.2762687161943,35.1906511040319,0.758009188339181,0.00741566848657686,0.00385387161647006,0.00299686816086586,0.00438585568146414,0.00815278491838014,0.00271378278924858,0.00599730255795106,0.0164627301777363,0.00735234934763431,0.00135492381602052,0.00324921011679925,0.00209657797597875,0.0014599433239967,0.00378808070690653,0.00138615912635536,0.045355269263796,0.0914109965105338,0.0381368382348807,0.0101754557230548,0.00210186584347638
Chelyabinsk Region,75000000,75000000,2.89409465639694,78.2,12.8,397.2,3471061,108.5,26.93,0.826996702161097,150.323394941393,90.6743098981154,32.1916086753945,112.210439196399,21.1465230326725,4.2229162783368,0.071964810165341,0.555982552721713,4.73688016430711,54.3,19.5,905.200600047075,25425,27.6,1.6,26.2,1.66548499147667,312.051805752595,0.111854512832485,0.339756697269162,-14.8908333333333,18.5908333333333,76.565,66.9916666666667,88700.822385849,74.8661310706866,81.9646643372687,0.394584842153434,0.000439058835324415,0.0110012482302216,0.00920475792361296,0.148629277657304,0.0139892795677168,0.00856113051931675,0.022700082241639,0.0547140594582996,0.0353044831920168,0.00736184325143188,0.009384884462034,0.0101717111379645,0.02150763925165,0.0227701167131312,0.0111464105893144,0.0405320789811439,0.0660357684520155,0.0508505972271529,0.0092836528168772,0.00283374327454129
Chukotka Autonomous Area,77000000,77000000,1.11756283805282,223.8,8.5,37.1,49975,106.9,23.75,0.712016008004002,188.89413761484,795.314771604643,75.3640989086178,841.300493421784,20.5679418162821,7.14357178589295,0.103287410576454,0.934762356867251,8.52426213106553,61.7,23.1,546.207103551776,83385,7.8,0.1,15.2,0.0219024465032744,109.4980166321,0.13503202308143,0.0867591504691335,-24.0042105263158,10.2978947368421,76.9457894736842,80.05,720174.543631004,2.94558244201695,0,0.0624848523152696,0.0520260130065033,0.0441257906100538,0.202188614566603,0.00786130504474279,0.104762267681653,0.0129140745413225,0.0335435140584879,0.0513125282252147,0.0820345342849707,0.010760647746888,0.0118341180314631,0.0115908845832965,0.0223191012037623,0.0201072983817679,0.00756618179430072,0.13344111277681,0.0938005469509471,0.0667173132757627,0.0154015419379057,0.00248746739658322
Chuvash Republic,97000000,97000000,3.14349106352509,62,17.4,252.7,1220606,111.9,28.14,0.631893502080114,227.134844079916,105.740207588889,23.58361100107,140.795087118422,16.8635446286311,4.93607273764016,0.0012540331014832,0.451578225003884,4.75583439701263,55,19.3,796.44062047868,20162,33.8,0.4,25.7,1.42552142132678,225.703881411972,0.145264924223858,0.261682064170146,-10.64,19.666,83.268,68.934,18405.6164495713,89.090109319445,48.9376716871327,0.108662483839088,0.000380139045687142,0.0144636054847868,0.000555312837900339,0.11408371966652,0.0124713015129743,0.005967825519753,0.0234229405870378,0.0460945405210795,0.0195712025606357,0.0100193152939084,0.00852750787127646,0.0115474682992785,0.0131864455405385,0.0128015398610496,0.00846732911952975,0.0337237851898602,0.0590757228935314,0.0492519885427998,0.0061669814382811,0.00217969226314261
Irkutsk Region,25000000,25000000,2.10572714122198,96.9,17.9,151,2394478,110.2,25.17,0.784075694159646,164.48597400111,83.9546262659447,20.7051951176152,110.0277503695,15.6057043052579,4.8962654908502,0.0764007133589886,0.562251753222169,5.85388548151205,54.9,21.9,649.686570517666,26306,18.8,1.6,23.2,1.36856550780588,245.614349708457,0.136113814703417,0.249198638777225,-23.4905263157895,17.3197368421053,77.1955263157895,73.9539473684211,762078.110243372,7.53677219302694,9.17712575286556,0.102351712969541,0.00112091236586847,0.018383980320501,0.0263432465137977,0.0721812561537402,0.021040365443983,0.0055281260970378,0.0267017672207556,0.0625029466895258,0.0503969963763514,0.00920598714944638,0.0105309086756688,0.00879528201537767,0.0140024662786248,0.0224331419395681,0.0172398025243299,0.0489419941353193,0.0777013187678716,0.057361715630805,0.00882327599376946,0.00413763171925638
Ivanovo Region,24000000,24000000,1.94236487536793,57.6,14.2,216.3,1000658,108.3,27.25,0.81658368793334,155.948672767336,123.562101303935,13.7074942669625,151.625014637507,1.29759791728882,4.39910538865427,0.00885954991016713,0.458914115842644,5.56733669245636,54.1,16.6,1054.60377071887,25794,42.3,0.3,29.3,6.45775079997362,283.242048238364,0.114910312330559,0.426178951539225,-9.32333333333333,18.8466666666667,85.89,72.7766666666667,21653.6760506761,62.5006102851026,32.119209470806,0.877449166392548,0.00336278728596583,0.00976122960629798,0.00122710384108846,0.0941511723733103,0.0203054929597545,0.00550525000390778,0.0146578228050896,0.0697609364904806,0.0191073903685608,0.00659676838370482,0.00798199368918764,0.00903767612962427,0.016310709327754,0.0103654530993283,0.00972336173223158,0.0442045548077424,0.0554956465263232,0.0531022121639894,0.00830968934086473,0.00330965219340388
